Query sequence,Most common phylum-level assignment,Most common class-level assignment,Most common order-level assignment,Most common family-level assignment,Most common Genus-level assignment,Taxon assignment,Likelihood weight,otu,ITS length
6367,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999999,OTU0,521
6368,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,"Cladosporium_cladosporioides,Cladosporium_allicinum",0.958121,OTU1,431
6369-F,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,"Sydowia_polyspora,Delphinella_strobiligena",0.992893,OTU2,555
6370,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_lini,"0.319863, 0.319840, 0.319835",OTU3,599
6371,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,"Sydowia_polyspora,Delphinella_strobiligena",0.992716,OTU4,606
6372-F,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta_pisi,"0.467982, 0.144486, 0.082302, 0.067918, 0.056052, 0.052039, 0.034603, 0.030718, 0.016864",OTU5,540
6373,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,"Nothophoma_infossa,Xenodidymella_asphodeli","0.424013, 0.178821, 0.170026, 0.161955, 0.016861",OTU6,618
6374,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,"Nothophoma_infossa,Xenodidymella_asphodeli","0.488491, 0.213033, 0.202949, 0.031068, 0.017111",OTU6,545
6375,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,"Nothophoma_infossa,Xenodidymella_asphodeli","0.480681, 0.218154, 0.207840, 0.032642, 0.016034",OTU6,536
6376,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,"Nothophoma_infossa,Xenodidymella_asphodeli","0.483479, 0.216333, 0.206101, 0.032041, 0.016423",OTU6,508
6387,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_lini,"0.320568, 0.320548, 0.320535",OTU3,483
6388,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.956021,OTU7,578
6395,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,"Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae,Aureobasidium_melanogenum",0.955833,OTU8,540
CM0018,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1059
CM0019,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1050
CM0020,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1051
CM0021,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1061
CM0022,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU9,1057
CM0023,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,"Preussia_minima,Westerdykella_cylindrica","0.494577, 0.337979, 0.155420",OTU10,1041
