Phylum-level assignment,Class-level assignment,Most common order-level assignment,Most common family-level assignment,Most common Genus-level assignment,otu
Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,OTU0
Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,OTU1
Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,OTU2
Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,OTU3
Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,OTU4
Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,OTU5
Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,OTU6
Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,OTU6
Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,OTU6
Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,OTU6
Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,OTU3
Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,OTU7
Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,OTU8
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,OTU10
Ascomycota,Dothideomycetes,Stigmatodiscales,Stigmatodiscaceae,Stigmatodiscus,OTU11
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea,OTU12
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,OTU13
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,OTU14
Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,OTU9
Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,OTU13
Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,OTU15
Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,OTU16
Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,OTU17
Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,OTU17
Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,OTU17
Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,OTU14
Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Neophaeomoniella,OTU18
