"","lower","r","upper","p"
"Loctn-Mn_nnl_t",-0.470043509753004,-0.172260278881974,0.16072995249824,0.307965117886283
"Loctn-Mn_prcpttn_d_",-0.444303879350882,-0.140513637039311,0.192258719257055,0.406820255484043
"Loctn-Mn_prcpttn_w_",-0.132176894852431,0.200425902819586,0.492463433780116,0.234276620403092
"Loctn-Mn_nnl_p",-0.391447752004185,-0.0772235213154708,0.253129242452587,0.649620547206285
"Loctn-ln_rc",-0.567997623920256,-0.299008817734777,0.0276932192862482,0.0722159394852892
"Mn_nnl_t-Mn_prcpttn_d_",-0.793808131849765,-0.63246469494587,-0.387948136602289,2.67359231624318e-05
"Mn_nnl_t-Mn_prcpttn_w_",-0.648231346517235,-0.410415785155399,-0.099648269776646,0.0116345973956551
"Mn_nnl_t-Mn_nnl_p",-0.633998170815968,-0.390120672912378,-0.0756664067913498,0.0169861217130336
"Mn_nnl_t-ln_rc",-0.449505368158233,-0.146879057385775,0.185991572223168,0.385676764858614
"Mn_prcpttn_d_-Mn_prcpttn_w_",0.170588188589785,0.468700326717253,0.688203380488519,0.00343398372482775
"Mn_prcpttn_d_-Mn_nnl_p",0.441930556017041,0.670008432286563,0.816721004774335,5.73687837218753e-06
"Mn_prcpttn_d_-ln_rc",0.304289367691689,0.571919637758407,0.75586681540979,0.000217325988242317
"Mn_prcpttn_w_-Mn_nnl_p",0.487823633332783,0.701034260678362,0.835313186815064,1.35047069999584e-06
"Mn_prcpttn_w_-ln_rc",-0.0637807617493227,0.265729851017185,0.542996058163803,0.111919811712046
"Mn_nnl_p-ln_rc",0.212373274021147,0.501857929564465,0.710363626579991,0.00155243856923744
