"","lower","r","upper","p"
"ln_rc-Loctn",-0.584025920056018,-0.557364727505516,-0.529502289346996,9.53284353935398e-201
"ln_rc-Lattd",-0.286438165040742,-0.249737545269422,-0.212305107110364,2.80507018989724e-36
"ln_rc-Lngtd",0.35044114896637,0.384641221760215,0.417816900586067,1.57647053711319e-87
"ln_rc-Mn_nnl_t",-0.0808185976540638,-0.041422679423567,-0.0018975385390177,0.0399836700704127
"ln_rc-Mn_prcpttn_d_",0.391553229717946,0.424511143233599,0.456381231107682,3.64633805459781e-108
"ln_rc-Mn_prcpttn_w_",-0.125429342470891,-0.0863291145558054,-0.0469611186419654,1.81312269376738e-05
"ln_rc-Mn_nnl_p",0.0617509486210791,0.101032585345802,0.140001716589461,5.15807842830913e-07
"Loctn-Lattd",0.562738217388147,0.589161132178758,0.614381355375622,9.25554689816237e-230
"Loctn-Lngtd",-0.825727905476375,-0.812726714036626,-0.798862452095591,0
"Loctn-Mn_nnl_t",0.218506299675796,0.255824943696982,0.292396388106466,4.82548309054405e-38
"Loctn-Mn_prcpttn_d_",-0.551800009059856,-0.523694420261832,-0.494400622674981,2.8822780560773e-173
"Loctn-Mn_prcpttn_w_",0.216094041828836,0.253457303308751,0.290079326705679,2.37393042019687e-37
"Loctn-Mn_nnl_p",-0.0769825297952197,-0.0375686026218336,0.0019625596700813,0.0625081979636514
"Lattd-Lngtd",-0.952060373084985,-0.948216625480966,-0.944073519903033,0
"Lattd-Mn_nnl_t",0.380354045495338,0.413662982513337,0.445900150722689,2.87138128772114e-102
"Lattd-Mn_prcpttn_d_",-0.479748075021407,-0.44872935146698,-0.416590369048831,3.92284792029313e-122
"Lattd-Mn_prcpttn_w_",0.0594258219868119,0.0987221715914855,0.137713019931047,9.34456121426576e-07
"Lattd-Mn_nnl_p",0.208776242791142,0.246272115460497,0.283045003636094,2.69848318307528e-35
"Lngtd-Mn_nnl_t",-0.429958265743994,-0.397180294353225,-0.363356688786133,1.02252860570358e-93
"Lngtd-Mn_prcpttn_d_",0.488193964422202,0.51773131702004,0.546083950371251,1.02482237819084e-168
"Lngtd-Mn_prcpttn_w_",-0.213148304076636,-0.175095300493534,-0.136511880093041,2.21225393256328e-18
"Lngtd-Mn_nnl_p",-0.201221039527674,-0.162989193892337,-0.124261522930017,4.19877993863076e-16
"Mn_nnl_t-Mn_prcpttn_d_",-0.804232564068781,-0.789812375923582,-0.774462778055369,0
"Mn_nnl_t-Mn_prcpttn_w_",-0.456994758758656,-0.425146442158187,-0.392209388365378,1.62104165255063e-108
"Mn_nnl_t-Mn_nnl_p",-0.645626018546247,-0.621970753721757,-0.59712302265786,2.75706565409913e-263
"Mn_prcpttn_d_-Mn_prcpttn_w_",0.144232258923975,0.182718781597891,0.220653348877462,6.65678343151121e-20
"Mn_prcpttn_d_-Mn_nnl_p",0.433582091202259,0.465138451891427,0.495555365269812,2.91707086606399e-132
"Mn_prcpttn_w_-Mn_nnl_p",0.701585999578397,0.721115925073616,0.739563327754141,0
