,Strain,Site,Project,Species,Host.family..plant..or.order.or.class..lichen.,Plant.or.Lichen.host,Site.Host,RICHNESS,ln_richness,Location,Habitat,Latitude,Longitude,Mean_annual_temperature,Mean_precipitation_driest_quarter,Mean_precipitation_wettest_quarter,Mean_annual_precipitation
1,6367,Tucson,Arizona,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
2,6368,Tucson,Arizona,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
3,6369-F,Tucson,Arizona,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
4,6370,Tucson,Arizona,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
5,6371,Tucson,Arizona,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
6,6372-F,Tucson,Arizona,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
7,6373,Tucson,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson_Plant-angiosperm,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
8,6374,Tucson,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson_Plant-angiosperm,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
9,6375,Tucson,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson_Plant-angiosperm,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
10,6376,Tucson,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson_Plant-angiosperm,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
11,6387,Tucson,Arizona,Ephedra,Ephedraceae,Plant-gnetophyte,Tucson_Plant-gnetophyte,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
12,6388,Tucson,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson_Plant-angiosperm,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
13,6395,Tucson,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson_Plant-angiosperm,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
14,CM0018,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
15,CM0019,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
16,CM0020,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
17,CM0021,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
18,CM0022,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
19,CM0023,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
20,CM0024,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
21,CM0025,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
22,CM0026,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
23,CM0027,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
24,CM0028,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
25,CM0029,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
26,CM0030,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
27,CM0031,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
28,CM0032,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
29,CM0033,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
30,CM0034,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
31,CM0035,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
32,CM0036,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
33,CM0037,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
34,CM0038,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
35,CM0039,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
36,CM0040,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
37,CM0041,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
38,CM0042,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
39,CM0043,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
40,CM0044,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
41,CM0045,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
42,CM0046,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
43,CM0047,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
44,CM0048,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
45,CM0049,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
46,CM0050,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
47,CM0051,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
48,CM0052,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
49,CM0053,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
50,CM0054,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
51,CM0055,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
52,CM0056,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
53,CM0058,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
54,CM0059,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
55,CM0060,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
56,CM0061,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
