Location,Strain,Habitat,Latitude,Longitude,Mean_annual_temperature,Mean_precipitation_driest_quarter,Mean_precipitation_wettest_quarter,Mean_annual_precipitation
Chile,SO_03056,Wet area in desert,-26.056467,-70.541,16.795667,0,6,0.75
Arizona,LG0446,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0487,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0488,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0503,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0508,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0510A,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0510B,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0517B,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0518,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0520,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0529,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0530,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0544,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0571,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0603,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0736,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0737,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0738,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0739,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG0740,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1208,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1220,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1247,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1272,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1316,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1317,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1320,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1349,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1364,Sonoran Desert,32.38,-112.87,21.9,2,37,18
Arizona,LG1369,Sonoran Desert,32.38,-112.87,21.9,2,37,18
