Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
SO_03056,Chile,Aguada,Nolana incana,Solanaceae,Plant-angiosperm,Aguada_Plant-angiosperm
SO_03022,Chile,Ester's cabin,Nolana divaricata,Solanaceae,Plant-angiosperm,Ester's cabin_Plant-angiosperm
SO_03024,Chile,Ester's cabin,Nolana divaricata,Solanaceae,Plant-angiosperm,Ester's cabin_Plant-angiosperm
SO_03025,Chile,Ester's cabin,Nolana divaricata,Solanaceae,Plant-angiosperm,Ester's cabin_Plant-angiosperm
SO_03026,Chile,Ester's cabin,Nolana divaricata,Solanaceae,Plant-angiosperm,Ester's cabin_Plant-angiosperm
SO_03027,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03029,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03030,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03031,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03032,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03033,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03034,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03035,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03036,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03037,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03038,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03039,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03040,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03041,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03042,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03044,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03046,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03047,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03048,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03050,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03052,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03053,Chile,Ester's cabin,Syntrichia buchtienii,Pottiaceae,Plant-bryophyte,Ester's cabin_Plant-bryophyte
SO_03054,Chile,Ester's cabin,Ephedra breana,Ephedraceae,Plant-gnetophyte,Ester's cabin_Plant-gnetophyte
SO_03055,Chile,Ester's cabin,Ephedra breana,Ephedraceae,Plant-gnetophyte,Ester's cabin_Plant-gnetophyte
SO_03000,Chile,Lo Prado,Lithraea caustica,Anacardiaceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03001,Chile,Lo Prado,Baccharis linearis,Asteraceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03002,Chile,Lo Prado,Baccharis linearis,Asteraceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03003,Chile,Lo Prado,Catagoniopsis berteroana,Brachytheciaceae,Plant-bryophyte,Lo Prado_Plant-bryophyte
SO_03004,Chile,Lo Prado,Catagoniopsis berteroana,Brachytheciaceae,Plant-bryophyte,Lo Prado_Plant-bryophyte
SO_03005,Chile,Lo Prado,Chusquea cumingii,Poaceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03006,Chile,Lo Prado,Chusquea cumingii,Poaceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_03007,Chile,Lo Prado,Chusquea cumingii,Poaceae,Plant-angiosperm,Lo Prado_Plant-angiosperm
SO_04071,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04072,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04073,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04074,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04075,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04076,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04077,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04078,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04079,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04080,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04081,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04082,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04084,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04085,Chile,Lo Prado,Punctelia subrudecta,,Lichen,Lo Prado_Lichen
SO_04086,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04087,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04088,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
SO_04089,Chile,Lo Prado,Teloschistes chrysophthalmus,,Lichen,Lo Prado_Lichen
