otu,Arizona,Chile,Southern_Africa
OTU0,6,0,0
OTU1,4,0,2
OTU100,3,0,0
OTU102,1,0,0
OTU104,5,0,1
OTU106,2,0,0
OTU107,1,0,0
OTU108,2,0,0
OTU113,2,0,0
OTU114,1,0,0
OTU115,4,0,0
OTU116,2,0,0
OTU117,3,0,0
OTU118,11,2,7
OTU119,1,0,1
OTU123,9,0,0
OTU124,16,0,0
OTU126,3,0,0
OTU127,2,0,0
OTU128,1,0,0
OTU13,20,1,4
OTU130,1,0,1
OTU131,9,0,0
OTU132,4,0,0
OTU135,1,0,0
OTU136,2,0,0
OTU139,0,0,0
OTU14,4,2,38
OTU141,0,0,0
OTU142,0,0,0
OTU143,4,0,1
OTU144,1,0,1
OTU145,1,0,0
OTU15,7,0,0
OTU150,1,0,1
OTU161,5,0,0
OTU162,0,0,0
OTU163,9,0,2
OTU164,2,0,2
OTU166,1,0,1
OTU167,4,0,0
OTU17,16,0,0
OTU171,4,0,0
OTU173,19,0,0
OTU174,2,0,0
OTU175,2,0,0
OTU177,1,0,0
OTU178,6,1,0
OTU18,3,0,1
OTU181,2,0,0
OTU185,7,0,0
OTU187,5,0,0
OTU188,1,1,0
OTU189,1,0,0
OTU191,5,0,3
OTU192,9,0,0
OTU194,1,0,0
OTU196,7,0,0
OTU198,11,0,0
OTU2,1,0,0
OTU20,3,0,0
OTU200,2,0,0
OTU204,1,0,0
OTU21,279,0,26
OTU210,2,0,3
OTU214,3,0,3
OTU217,18,0,2
OTU218,2,0,0
OTU22,2,0,0
OTU224,31,0,0
OTU225,3,0,0
OTU226,0,2,0
OTU227,2,0,0
OTU228,0,1,0
OTU23,6,0,1
OTU231,0,5,0
OTU233,0,0,1
OTU234,0,1,1
OTU235,0,2,13
OTU238,0,0,0
OTU239,0,0,0
OTU24,5,1,0
OTU240,4,0,0
OTU241,1,0,0
OTU242,1,1,0
OTU243,2,0,5
OTU246,4,0,0
OTU248,0,0,0
OTU249,21,0,0
OTU25,3,0,0
OTU251,0,0,0
OTU252,0,0,0
OTU253,0,0,4
OTU254,0,0,0
OTU255,0,0,0
OTU26,3,0,0
OTU262,0,0,1
OTU263,1,0,0
OTU264,0,0,1
OTU27,10,0,25
OTU270,0,0,1
OTU271,1,0,0
OTU273,0,0,1
OTU275,1,0,0
OTU278,0,0,0
OTU279,0,0,2
OTU28,79,0,0
OTU283,0,0,0
OTU284,0,0,0
OTU286,1,0,0
OTU287,8,0,0
OTU288,0,0,0
OTU289,0,0,1
OTU29,9,0,6
OTU290,0,0,1
OTU294,0,2,0
OTU298,0,42,8
OTU299,1,2,0
OTU3,2,0,0
OTU303,0,9,0
OTU306,0,5,0
OTU308,0,2,5
OTU31,22,0,0
OTU310,0,2,0
OTU312,11,0,0
OTU313,21,0,0
OTU314,19,0,0
OTU316,94,0,1
OTU317,7,0,0
OTU319,3,0,0
OTU32,11,0,0
OTU321,2,0,0
OTU322,4,0,0
OTU323,8,0,0
OTU324,3,0,0
OTU328,16,0,0
OTU330,3,0,0
OTU332,2,0,0
OTU333,2,0,0
OTU336,3,0,0
OTU337,3,0,0
OTU338,4,0,0
OTU34,3,0,0
OTU341,3,0,1
OTU347,0,0,10
OTU350,0,0,4
OTU352,0,0,12
OTU354,0,0,3
OTU355,0,0,14
OTU356,0,0,22
OTU358,0,0,2
OTU359,0,0,4
OTU361,0,0,2
OTU364,0,0,11
OTU365,0,0,3
OTU367,0,0,4
OTU369,0,0,4
OTU37,2,0,0
OTU370,0,0,10
OTU378,0,0,2
OTU379,0,0,4
OTU38,23,0,0
OTU381,0,0,2
OTU383,0,0,4
OTU384,0,0,3
OTU386,0,0,2
OTU387,0,0,3
OTU389,0,0,4
OTU39,1,0,1
OTU391,0,0,3
OTU396,0,0,2
OTU397,0,0,4
OTU4,1,0,0
OTU402,0,0,2
OTU41,2,0,0
OTU416,0,0,4
OTU417,0,0,3
OTU42,51,3,2
OTU427,0,0,2
OTU438,0,0,2
OTU439,0,0,2
OTU44,168,0,0
OTU446,0,0,2
OTU447,0,0,2
OTU45,1,0,0
OTU451,0,0,2
OTU46,2,1,1
OTU47,12,0,0
OTU48,7,0,0
OTU49,7,0,0
OTU5,14,0,0
OTU50,20,0,0
OTU52,2,0,0
OTU54,2,0,0
OTU55,12,0,3
OTU57,4,0,0
OTU58,9,0,0
OTU59,3,0,0
OTU6,4,0,1
OTU61,3,0,0
OTU66,9,1,1
OTU67,285,0,7
OTU69,25,0,0
OTU70,2,0,0
OTU72,6,1,0
OTU73,3,0,0
OTU75,79,0,11
OTU76,3,0,3
OTU77,15,0,0
OTU78,3,0,0
OTU79,1,0,0
OTU8,25,0,0
OTU80,8,0,0
OTU83,0,0,0
OTU84,2,0,1
OTU88,1,0,0
OTU89,16,0,0
OTU9,37,0,0
OTU90,6,0,0
OTU91,2,0,0
OTU92,1,0,0
OTU93,10,0,0
OTU96,8,0,0
OTU97,1,0,0
OTU98,1,0,4
OTU99,4,0,0
