"","Site","RICHNESS"
"1","Ajo",6
"2","Aravaipa, East",6
"3","Aravaipa, West",3
"4","Casa Grande",8
"5","Catalina",6
"6","Chiricahua Mountains",7
"7","Dorob-4-C1-P1",1
"8","Dragoon",9
"9","Ester's cabin-1-C1-P1",3
"10","Fort Bowie",5
"11","Gila Bend",4
"12","Lake Havasu",7
"13","Lo Prado-1-C1-P1",5
"14","Lo Prado-1-C2-P1",3
"15","Lomitas-3-C1-P1",1
"16","Lomitas-4-C1-P1",1
"17","Mt. Lemmon",10
"18","Namaqua-1-C1-P1",3
"19","Namaqua-2-C1-P1",4
"20","Pan de Azucar-1-C1-P1",2
"21","Phoenix",8
"22","Phoenix, west",1
"23","Picacho Peak",10
"24","Rock Springs",10
"25","Sahuarita",3
"26","Santa Rita Experimental Range",3
"27","Sierra Prieta",4
"28","Swartberg-1-C1-P1",3
"29","Swartberg-2-C1-P1",4
"30","Swartberg-3-C1-P1",10
"31","Swartberg-4-C1-P1",2
"32","Swartberg-5-C1-P1",8
"33","Swartberg-6-C1-P1",3
"34","Tubac",1
"35","Tucson",6
"36","Tucson Mountains",27
"37","Tucson Mountains (Saguaro)",31
"38","Tucson Mountains foothills",7
"39","Tucson, central",1
"40","Tucson, First/River/CAC",15
"41","Tucson, Grant/Santa Cruz",7
"42","Tucson, Swan/Rillito",13
"43","Vail",9
"44","Waterberg-1-C1-P1",10
"45","Waterberg-2-C1-P1",1
"46","Welwitschia-1-C1-P1",2
"47","West_Coast-1-C1-P1",16
"48","West_Coast-4-C1-P1",5
"49","Willcox",8
