Site,Location,Habitat,Mean_annual_temperature,Mean_precipitation_driest_quarter,Mean_precipitation_wettest_quarter,Mean_annual_precipitation,RICHNESS,ln_richness
Ajo,Arizona,Sonoran Desert,21.9,2,37,18,10,2.302585093
"Aravaipa, East",Arizona,Sonoran Desert,15.2,10,81,42,20,2.995732274
"Aravaipa, West",Arizona,Sonoran Desert,19.5,5,57,31,9,2.197224577
Casa Grande,Arizona,Sonoran Desert,21.4,2,38,19,16,2.772588722
Catalina,Arizona,Sonoran Desert,17.6,8,73,37,13,2.564949357
Chiricahua Mountains,Arizona,Pine/oak/juniper forest,11.7,10,118,46,16,2.772588722
Dorob,Southern_Africa,,20.32083321,0,14,3.166666667,5,1.609437912
Dragoon,Arizona,Sonoran Desert,16.1,6,85,33,21,3.044522438
Ester's cabin,Chile,Fog desert,15.78,0,13,1.583333333,5,1.609437912
Fort Bowie,Arizona,Sonoran Desert,17,7,56,25,11,2.397895273
Gila Bend,Arizona,Sonoran Desert,22.9,1,28,14,7,1.945910149
Lake Havasu,Arizona,Sonoran-Mojave Desert transition,22.9,1,20,12,13,2.564949357
Lo Prado,Chile,Mediterranean scrub,14.3575,10,277,36.33333333,15,2.708050201
Lomitas,Chile,Desert,15.78,0,13,1.583333333,3,1.098612289
Mt. Lemmon,Arizona,Pine/oak/juniper forest,13.6,11,109,54,20,2.995732274
Namaqua,Southern_Africa,,17.82916641,5,26,14.41666667,10,2.302585093
Pan de Azucar,Chile,Fog desert,15.78,0,13,1.583333333,5,1.609437912
Phoenix,Arizona,Sonoran Desert,22.1,2,31,19,10,2.302585093
"Phoenix, west",Arizona,Sonoran Desert,20.8,3,43,23,10,2.302585093
Picacho Peak,Arizona,Sonoran Desert,21.1,4,45,22,23,3.135494216
Rock Springs,Arizona,Sonoran Desert,20.3,5,49,32,19,2.944438979
Sahuarita,Arizona,Sonoran Desert,19.6,5,72,29,8,2.079441542
Santa Rita Experimental Range,Arizona,Grassland,18,5,109,40,7,1.945910149
Sierra Prieta,Arizona,Pine/oak/juniper forest,12.3,9,78,39,9,2.197224577
Swartberg,Southern_Africa,"Minor disturbance, succulent shrubland",13.61250019,18,37,25,52,3.951243719
Tubac,Arizona,Sonoran Desert,18.4,5,102,35,7,1.945910149
Tucson,Arizona,Sonoran Desert,18.4,5,102,35,10,2.302585093
Tucson Mountains,Arizona,Sonoran Desert,20.2,5,62,28,73,4.290459441
Tucson Mountains (Saguaro),Arizona,Sonoran Desert,20.4,5,56,25,82,4.406719247
Tucson Mountains foothills,Arizona,Sonoran Desert,20.2,5,62,28,11,2.397895273
"Tucson, central",Arizona,Sonoran Desert,20.9,5,57,26,3,1.098612289
"Tucson, First/River/CAC",Arizona,Sonoran Desert,20.6,5,56,26,34,3.526360525
"Tucson, Grant/Santa Cruz",Arizona,Sonoran Desert,20.6,5,56,26,22,3.091042453
"Tucson, Swan/Rillito",Arizona,Sonoran Desert,20.4,5,59,28,29,3.36729583
Vail,Arizona,Sonoran Desert,18.4,5,94,36,23,3.135494216
Waterberg,Southern_Africa,Primary forest with large Ficus at the base of Waterberg Plateau,19.36666679,0,112,37.41666667,20,2.995732274
Welwitschia,Southern_Africa,Shale ridges and arroyo with Fabaceae,20.8125,0,16,3.916666667,4,1.386294361
West_Coast,Southern_Africa,"Rich Langebaan dune strandveld community above dunes. Euphorbiaceae, Crassulaceae, mistletoes; many epiphytic lichens",16.11666679,7,59,27.66666667,36,3.583518938
Willcox,Arizona,Sonoran Desert,16.1,6,68,28,13,2.564949357
