otu,Phylum.level.assignment,Class.level.assignment,Most.common.order.level.assignment,Most.common.family.level.assignment,Most.common.Genus.level.assignment,Arizona
OTU102,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,1
OTU107,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Allophaeosphaeria,1
OTU114,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,1
OTU119,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella,1
OTU128,Ascomycota,Pezizomycetes,Pezizales,Chorioactidaceae,Chorioactis,1
OTU130,Ascomycota,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Falciformispora,1
OTU135,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,1
OTU144,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,1
OTU145,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Xenodidymella,1
OTU150,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Subramaniula,1
OTU166,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,1
OTU177,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,1
OTU188,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,1
OTU189,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Menispora,1
OTU194,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,1
OTU2,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,1
OTU204,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,1
OTU241,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Amesia,1
OTU242,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,1
OTU263,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,1
OTU271,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,1
OTU275,Ascomycota,unclassified,unclassified,unclassified,Saitoella,1
OTU286,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Daldinia,1
OTU299,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,1
OTU39,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,1
OTU4,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,1
OTU45,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,1
OTU79,Ascomycota,Dothideomycetes,Pleosporales,unclassified,Flavomyces,1
OTU88,Ascomycota,Dothideomycetes,Stigmatodiscales,Stigmatodiscaceae,Stigmatodiscus,1
