"","otu","Phylum.level.assignment","Class.level.assignment","Most.common.order.level.assignment","Most.common.family.level.assignment","Most.common.Genus.level.assignment","Arizona","Chile","Southern_Africa"
"1","OTU0","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",6,0,0
"15","OTU1","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",4,0,2
"26","OTU100","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Collariella",3,0,0
"29","OTU102","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria",1,0,0
"31","OTU104","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pleospora",5,0,1
"39","OTU106","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Collariella",2,0,0
"41","OTU107","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Allophaeosphaeria",1,0,0
"43","OTU108","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria",2,0,0
"47","OTU113","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria",2,0,0
"49","OTU114","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea",1,0,0
"56","OTU115","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Bacidia",4,0,0
"60","OTU116","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Thielavia",2,0,0
"62","OTU117","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Sordaria",3,0,0
"68","OTU118","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",11,2,7
"95","OTU119","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella",1,0,1
"97","OTU123","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium",9,0,0
"108","OTU124","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium",16,0,0
"126","OTU126","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea",3,0,0
"129","OTU127","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella",2,0,0
"132","OTU128","Ascomycota","Pezizomycetes","Pezizales","Chorioactidaceae","Chorioactis",1,0,0
"134","OTU13","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pyronema",20,1,4
"168","OTU130","Ascomycota","Dothideomycetes","Pleosporales","Trematosphaeriaceae","Falciformispora",1,0,1
"170","OTU131","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora",9,0,0
"182","OTU132","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",4,0,0
"186","OTU135","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium",1,0,0
"189","OTU136","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea",2,0,0
"231","OTU139","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Pestalotiopsis",0,0,0
"234","OTU14","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",4,2,38
"278","OTU141","Ascomycota","Sordariomycetes","Hypocreales","unclassified","Acremonium",0,0,0
"280","OTU142","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces",0,0,0
"284","OTU143","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Ovatospora",4,0,1
"289","OTU144","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza",1,0,1
"291","OTU145","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Xenodidymella",1,0,0
"293","OTU15","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Discostroma",7,0,0
"300","OTU150","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Subramaniula",1,0,1
"302","OTU161","Ascomycota","unclassified","unclassified","unclassified","Saitoella",5,0,0
"308","OTU162","Ascomycota","Xylonomycetes","Xylonomycetales","Xylonomycetaceae","Xylona",0,0,0
"310","OTU163","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Discostroma",9,0,2
"324","OTU164","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",2,0,2
"329","OTU166","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",1,0,1
"331","OTU167","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Thielavia",4,0,0
"339","OTU17","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bisporella",16,0,0
"355","OTU171","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Sordaria",4,0,0
"361","OTU173","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium",19,0,0
"381","OTU174","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria",2,0,0
"383","OTU175","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus",2,0,0
"386","OTU177","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",1,0,0
"388","OTU178","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",6,1,0
"396","OTU18","Ascomycota","Eurotiomycetes","Phaeomoniellales","unclassified","Neophaeomoniella",3,0,1
"400","OTU181","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",2,0,0
"402","OTU185","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Tricharina",7,0,0
"428","OTU187","Ascomycota","Neolectomycetes","Neolectales","Neolectaceae","Neolecta",5,0,0
"433","OTU188","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",1,1,0
"437","OTU189","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Menispora",1,0,0
"439","OTU191","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopyxis",5,0,3
