"","Site","RICHNESS","Location","Mean_annual_temperature","Mean_precipitation_driest_quarter","Mean_precipitation_wettest_quarter","Mean_annual_precipitation"
"1","Ajo",6,"Arizona",21.9,2,37,18
"2","Aravaipa, East",6,"Arizona",15.2,10,81,42
"3","Aravaipa, West",3,"Arizona",19.5,5,57,31
"4","Casa Grande",8,"Arizona",21.4,2,38,19
"5","Catalina",6,"Arizona",17.6,8,73,37
"6","Chiricahua Mountains",7,"Arizona",11.7,10,118,46
"7","Dorob",1,"Southern_Africa",18.58749962,0,7,2.333333333
"8","Dragoon",9,"Arizona",16.1,6,85,33
"9","Ester's cabin",3,"Chile",15.78,0,13,1.583333333
"10","Fort Bowie",5,"Arizona",17,7,56,25
"11","Gila Bend",4,"Arizona",22.9,1,28,14
"12","Lake Havasu",7,"Arizona",22.9,1,20,12
"13","Lo Prado",8,"Chile",14.3575,10,277,36.33333333
"14","Lomitas",2,"Chile",15.78,0,13,1.583333333
"15","Mt. Lemmon",10,"Arizona",13.6,11,109,54
"16","Namaqua",6,"Southern_Africa",17.82916641,5,26,14.41666667
"17","Pan de Azucar",2,"Chile",15.78,0,13,1.583333333
"18","Phoenix",8,"Arizona",22.1,2,31,19
"19","Phoenix, west",1,"Arizona",20.8,3,43,23
"20","Picacho Peak",10,"Arizona",21.1,4,45,22
"21","Rock Springs",10,"Arizona",20.3,5,49,32
"22","Sahuarita",3,"Arizona",19.6,5,72,29
"23","Santa Rita Experimental Range",3,"Arizona",18,5,109,40
"24","Sierra Prieta",4,"Arizona",12.3,9,78,39
"25","Swartberg",18,"Southern_Africa",13.61250019,18,37,25
"26","Tubac",1,"Arizona",18.4,5,102,35
"27","Tucson",6,"Arizona",18.4,5,102,35
"28","Tucson Mountains",27,"Arizona",20.4,5,60,27
"29","Tucson Mountains (Saguaro)",31,"Arizona",20.4,5,56,25
"30","Tucson Mountains foothills",7,"Arizona",20.2,5,62,28
"31","Tucson, central",1,"Arizona",20.9,5,57,26
"32","Tucson, First/River/CAC",15,"Arizona",20.6,5,56,26
"33","Tucson, Grant/Santa Cruz",7,"Arizona",20.6,5,55,25
"34","Tucson, Swan/Rillito",13,"Arizona",20.4,5,59,28
"35","Vail",9,"Arizona",18.4,5,94,36
"36","Waterberg",10,"Southern_Africa",19.36666679,0,112,37.41666667
"37","Welwitschia",2,"Southern_Africa",20.8125,0,16,3.916666667
"38","West_Coast",17,"Southern_Africa",16.11666679,7,59,27.66666667
"39","Willcox",8,"Arizona",16.1,6,68,28
