"","Site","RICHNESS"
"1","Ajo",6
"2","Aravaipa, East",6
"3","Aravaipa, West",3
"4","Casa Grande",8
"5","Catalina",6
"6","Chiricahua Mountains",7
"7","Dorob",1
"8","Dragoon",9
"9","Ester's cabin",3
"10","Fort Bowie",5
"11","Gila Bend",4
"12","Lake Havasu",7
"13","Lo Prado",8
"14","Lomitas",2
"15","Mt. Lemmon",10
"16","Namaqua",6
"17","Pan de Azucar",2
"18","Phoenix",8
"19","Phoenix, west",1
"20","Picacho Peak",10
"21","Rock Springs",10
"22","Sahuarita",3
"23","Santa Rita Experimental Range",3
"24","Sierra Prieta",4
"25","Swartberg",18
"26","Tubac",1
"27","Tucson",6
"28","Tucson Mountains",27
"29","Tucson Mountains (Saguaro)",31
"30","Tucson Mountains foothills",7
"31","Tucson, central",1
"32","Tucson, First/River/CAC",15
"33","Tucson, Grant/Santa Cruz",7
"34","Tucson, Swan/Rillito",13
"35","Vail",9
"36","Waterberg",10
"37","Welwitschia",2
"38","West_Coast",17
"39","Willcox",8
